pollster,scope,check_url,last_confirmed_crosstab,hit_rate,evidence,cadence,notes
Economist/YouGov,national,https://today.yougov.com/topics/politics,2026-08-31,11 of 11 checked,Extractor keys on the 'genericcongressionalvote' table label; 11 PDFs parsed 2026-03 to 2026-08 carried a W/B/H banner every time,weekly,"Most consistent source we hold - but consistent is not guaranteed, still check the wave. Latest wired 2026-08-28_to_31; a Sept 4-8 wave exists and is NOT ingested."
Quantus Insights,national,https://quantusinsights.com/,2026-07-07,1 of 1 checked,"Extracted row 2026-07-07, n=1140 LV, Q3 generic ballot by race",monthly?,One release ever checked - one hit is not a pattern. Hispanic subgroup n=127; weight accordingly.
The Argument/Verasight,national,https://www.theargumentmag.com/,2026-07-26,1 of 1 checked,"Extracted row 2026-07-26, n=3000 RV, Q13 unleaned generic ballot by race",unknown,Largest sample of any row we hold. Publishes leaned AND unleaned; the repo row uses UNLEANED to match the others - check which a new release leads with.
Big Data Poll,national,https://www.bigdatapoll.com/,2026-07-29,1 of 1 checked,"Extracted row 2026-07-29, n=2922 RV, race banner via MarketSight crosstabs",unknown,HOUSE EFFECT ran D-heavy: 2p D+13.3 against an RCP average of D+6.8 at the time. Do not let it dominate an average.
Emerson College,both,https://emersoncollegepolling.com/feed/,2026-08-17,1 of 2 checked,"Aug 2026 banner found in the linked full-results workbook ('crosstabs' sheet). The JULY 2026 release was checked three ways - page links, sheet export, hidden-tab check - and had NO generic ballot by race.",monthly,"THE case for checking every release: same pollster, banner one month and not the next. Never in the write-up; in the workbook if anywhere. Also polls Texas."
Marist/NPR,national,https://maristpoll.marist.edu/polls/,unknown,0 of 1 checked,"An extractor exists and update_polling.py's docstring asserted full W/B/Latino, but that claim was unsourced and the only local PDF (2026-03-02) could not be confirmed to carry the banner on the ballot page",monthly,Last wired release is MARCH 2026. Either the extractor stopped being fed URLs or Marist changed. Check a current release before relying on it.
Quinnipiac,national,https://poll.qu.edu/poll-release,none found,0 of 1 checked,"The one local PDF (2025-12-17) contains no racial banner anywhere. That is evidence about DECEMBER 2025, not about Quinnipiac as a pollster.",monthly,Previously written off as 'topline only' as though it were permanent. Wrong framing - formats change; check current releases.
Fox News,both,https://www.foxnews.com/official-polls,unknown,0 of 2 checked,"Local national crosstab + topline PDFs (2026-04-17) and a TEXAS crosstab PDF (2026-07-23, downloaded 8/15, never used). Fox publishes full crosstab books.",periodic,The Texas file already on disk is the obvious first state-level source to wire.
Data for Progress,national,https://www.dataforprogress.org/blog,unknown,0 of 1 checked,Local dfp_midterm_glimpse_may18.pdf carries a race banner on 8 pages but no generic-ballot question was located,periodic,Partisan-affiliated (D). Treat house effect accordingly if used.
Ipsos / WaPo-Ipsos,national,https://www.ipsos.com/en-us/knowledge/society,unknown,0 of 2 checked,"Local ipsos_core_political_may18.pdf and wapo_ipsos_jul2026_topline.pdf; race banner present, ballot question not confirmed",periodic,The WaPo file on disk is the TOPLINE - the crosstab book is a separate download.
Cygnal,national,https://www.cygn.al/blog/,unknown,0 of 1 checked,Local cygnal_jul2026.pdf has a generic-ballot question but no race banner was located - it may live in a separate crosstab file,monthly,Partisan-affiliated (R).
UT/Texas Politics Project,texas,https://texaspolitics.utexas.edu/polling-data-archive,unknown,0 checked,"In the TPP Senate tracker fielding 6/5-6/12 and 8/5-8/13 2026, n=1200 RV. Publishes full crosstabs generally.",~6-8/year,"THE Texas source. RV not LV. Statewide only - gives the Texas Hispanic share, not a district's."
TSU/YouGov,texas,https://www.tsu.edu/academics/colleges-and-schools/public-affairs/,unknown,0 checked,"In the TPP Senate tracker, 7/27-7/30 2026, n=1200 LV",periodic,"YouGov-fielded so a banner is plausible, but the release location is unconfirmed."
NYT/Siena,texas,https://www.nytimes.com/section/upshot,unknown,0 checked,"In the TPP Senate tracker, 6/19-6/27 2026, n=656 LV",rare,NYT publishes full crosstabs but its polls hub blocks automated fetching (403). Manual check only.
UT Tyler,texas,https://www.uttyler.edu/academics/colleges-schools/arts-sciences/departments/political-science/pollingcenter/,unknown,0 checked,Statewide RV samples; 1117 RV in Feb 2026 per their polling center page,periodic,Unconfirmed whether they publish a race banner on any generic ballot.
